query,scope,ok,error,latency_ms,kb_results,ticket_results
How do I fix VPN connection drops every few minutes?,it,True,,126.1,3,2
My Outlook is not syncing emails after the last update.,it,True,,135.0,2,3
I am locked out of my account and MFA is not working.,it,True,,81.0,3,3
Teams is using a lot of memory and the laptop is slow.,it,True,,122.6,4,3
I keep getting BSOD KERNEL_DATA_INPAGE_ERROR on Windows 11.,it,True,,119.7,4,2
Printer queue is stuck and the document will not print.,it,True,,137.6,2,3
New hire needs an Active Directory account and Outlook setup.,it,True,,121.3,3,3
Wi-Fi keeps disconnecting in our south building.,it,True,,129.4,3,1
Error 0x80070005 permission denied when accessing the share.,it,True,,127.4,4,1
How do I request VPN access for a contractor?,it,True,,137.6,2,2
How do I unclog a toilet?,oos,True,,86.3,0,0
What time does the cafeteria open today?,oos,True,,76.4,0,0
