ticket_id,title,description,category,component,issue_type,severity,priority,status,assigned_team,environment,resolution,created_date,steps_to_reproduce
ITS-00001,Active Directory problem: new hire needs account setup,The Active Directory has been new hire needs account setup for the past few hours. OS: Windows 10. Please help.,Account,Active Directory,Question,Medium,Medium,Resolved,IT Operations,Windows 10,Re-enrolled MFA device. Verified with user that issue is fixed.,2025-08-07,"1. Open Active Directory
2. Attempt normal operation
3. Observe: new hire needs account setup"
ITS-00002,[Hardware] Monitor - fan making loud noise,My Monitor is fan making loud noise. I've been experiencing this since this morning. Environment: macOS 14.,Hardware,Monitor,Question,Medium,Medium,In Progress,IT Operations,macOS 14,,2025-10-03,"1. Open Monitor
2. Attempt normal operation
3. Observe: fan making loud noise"
ITS-00003,[Software] Teams - error code 0x80070005,My Teams is error code 0x80070005. I've been experiencing this since this morning. Environment: macOS 14.,Software,Teams,Question,Low,Low,In Progress,Help Desk,macOS 14,,2025-11-04,"1. Open Teams
2. Attempt normal operation
3. Observe: error code 0x80070005"
ITS-00004,[Software] Antivirus - compatibility issue,"Hi, I need help. Antivirus keeps compatibility issue. Started yesterday. I'm on macOS 14.",Software,Antivirus,Service Request,Low,Low,In Progress,Network Engineering,macOS 14,,2025-08-20,"1. Open Antivirus
2. Attempt normal operation
3. Observe: compatibility issue"
ITS-00005,[Network] Firewall - slow internet speed,Urgent: Firewall - slow internet speed. Multiple users reporting similar issues. Environment is Windows 11.,Network,Firewall,Bug,Medium,Medium,Open,Security,Windows 11,,2025-11-08,"1. Open Firewall
2. Attempt normal operation
3. Observe: slow internet speed"
ITS-00006,[Network] Firewall - intermittent disconnections,"Hi, I need help. Firewall keeps intermittent disconnections. Started yesterday. I'm on Windows 11.",Network,Firewall,Service Request,Low,Low,Closed,Network Engineering,Windows 11,Replaced network cable. Verified with user that issue is fixed.,2025-10-20,"1. Open Firewall
2. Attempt normal operation
3. Observe: intermittent disconnections"
ITS-00007,[Network] Firewall - cannot access internal resources,The Firewall has been cannot access internal resources for the past few hours. OS: Chrome OS. Please help.,Network,Firewall,Question,Medium,Medium,In Progress,IT Operations,Chrome OS,,2025-10-10,"1. Open Firewall
2. Attempt normal operation
3. Observe: cannot access internal resources"
ITS-00008,Keyboard not connecting to docking station,The Keyboard has been not connecting to docking station for the past few hours. OS: Windows 10. Please help.,Hardware,Keyboard,Question,Medium,Medium,In Progress,Network Engineering,Windows 10,,2025-08-24,"1. Open Keyboard
2. Attempt normal operation
3. Observe: not connecting to docking station"
ITS-00009,Teams problem: plugin not working,My Teams is plugin not working. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Software,Teams,Service Request,Low,Low,Open,Help Desk,Ubuntu 22.04,,2025-02-22,"1. Open Teams
2. Attempt normal operation
3. Observe: plugin not working"
ITS-00010,Keyboard problem: fan making loud noise,Issue with Keyboard: fan making loud noise. This is affecting my work. Running on Windows 10.,Hardware,Keyboard,Question,Medium,Medium,Closed,Network Engineering,Windows 10,Performed hardware diagnostic. Verified with user that issue is fixed.,2025-12-05,"1. Open Keyboard
2. Attempt normal operation
3. Observe: fan making loud noise"
ITS-00011,Active Directory problem: group membership change needed,"Hi, I need help. Active Directory keeps group membership change needed. Started yesterday. I'm on Chrome OS.",Account,Active Directory,Question,Low,Low,Closed,DevOps,Chrome OS,Fixed SSO federation config. Verified with user that issue is fixed.,2025-10-03,"1. Open Active Directory
2. Attempt normal operation
3. Observe: group membership change needed"
ITS-00012,Docking Station problem: freezing randomly,Urgent: Docking Station - freezing randomly. Multiple users reporting similar issues. Environment is Ubuntu 22.04.,Hardware,Docking Station,Question,Medium,Medium,Closed,DevOps,Ubuntu 22.04,Replaced faulty component. Verified with user that issue is fixed.,2025-04-16,"1. Open Docking Station
2. Attempt normal operation
3. Observe: freezing randomly"
ITS-00013,Desktop problem: not turning on,Issue with Desktop: not turning on. This is affecting my work. Running on Windows 11.,Hardware,Desktop,Bug,Low,Low,Open,Security,Windows 11,,2025-06-15,"1. Open Desktop
2. Attempt normal operation
3. Observe: not turning on"
ITS-00014,[Software] SAP - update failed,"Hi, I need help. SAP keeps update failed. Started yesterday. I'm on Windows 11.",Software,SAP,Question,Medium,Medium,Open,DevOps,Windows 11,,2025-04-05,"1. Open SAP
2. Attempt normal operation
3. Observe: update failed"
ITS-00015,DNS IP conflict,My DNS is IP conflict. I've been experiencing this since this morning. Environment: macOS 14.,Network,DNS,Bug,High,High,In Progress,Help Desk,macOS 14,,2025-12-16,"1. Open DNS
2. Attempt normal operation
3. Observe: IP conflict"
ITS-00016,Storage problem: failover did not trigger,My Storage is failover did not trigger. I've been experiencing this since this morning. Environment: macOS 14.,Incident,Storage,Incident,Low,Low,In Progress,DevOps,macOS 14,,2025-03-24,"1. Open Storage
2. Attempt normal operation
3. Observe: failover did not trigger"
ITS-00017,[Incident] Load Balancer - data sync failure between systems,"Hi, I need help. Load Balancer keeps data sync failure between systems. Started yesterday. I'm on Ubuntu 22.04.",Incident,Load Balancer,Incident,High,High,In Progress,Network Engineering,Ubuntu 22.04,,2025-12-22,"1. Open Load Balancer
2. Attempt normal operation
3. Observe: data sync failure between systems"
