query,scope,query_idx,base_answer,rag_answer,context_snippet,base_latency_s,rag_latency_s,kb_docs_retrieved,ticket_docs_retrieved,kb_docs_passed_filter,ticket_docs_passed_filter,judge_answer_a_groundedness,judge_answer_a_specificity,judge_answer_a_accuracy,judge_answer_b_groundedness,judge_answer_b_specificity,judge_answer_b_accuracy,judge_which_is_better,judge_hallucination_in_a,judge_hallucination_in_b,judge_reasoning,judge_parse_error,judge_hall.
How do I fix VPN connection drops?,it,0,"To fix VPN connection drops, try these steps:  
1. **Check internet stability**: Ensure your connection is strong and restart your router/modem.  
2. **Switch protocols**: Use IKEv2, WireGuard, or OpenVPN instead of your current protocol.  
3. **Disable firewall/antivirus**: Temporarily disable secu","To fix VPN connection drops, follow these steps from the troubleshooting runbook:

1. **Check Client Version**: Ensure the VPN client is updated to the latest version (v4.2+).  
   - Windows: Settings > Apps > VPN Client  
   - macOS: Applications > VPN Client > About  

2. **Network Diagnostics**: ","[KB Source: runbook_vpn_troubleshooting.md]
# VPN Troubleshooting Runbook


## Symptom: VPN Connection Drops Intermittently


### Step 1: Check Client Version
Ensure the VPN client is updated to the l",44.41,41.57,3,3,1,3,2.0,1.0,3.0,5.0,5.0,5.0,B,False,False,"Answer B provides specific, actionable steps grounded in retrieved context, while Answer A offers generic advice without context-specific details.",,
My VPN keeps disconnecting every 10 minutes on Windows 11,it,1,"Your VPN disconnections could be caused by:  
1. **Server timeout**: Check if the VPN server has an idle timeout setting (e.g., 10 minutes). Contact your provider to adjust this.  
2. **Network instability**: Ensure your internet connection is stable. Test speed and check for interference (e.g., rou",I don't have this information in our knowledge base.,"[Ticket: U-000228 | N/A]
Title: VPN intermittent disconnections
Description: Hi, I need help. VPN keeps intermittent disconnections. Started yesterday. I'm on Ubuntu 22.04.
Category: Network
Component",54.54,22.19,3,3,0,3,1.0,3.0,3.0,5.0,1.0,1.0,B,True,False,"Answer A fabricates specific steps (registry edits, server timeout) without context, while Answer B truthfully states lack of knowledge.",,
VPN client version 4.1 is not connecting,it,2,"1. **Check for updates**: Ensure you're using the latest version of the VPN client (4.1 might be outdated).  
2. **Network issues**: Verify your internet connection is stable. Disable firewalls/antivirus temporarily to rule out blocking.  
3. **DNS settings**: Try changing DNS to public servers (e.g","The VPN client version 4.1 is outdated. According to the troubleshooting runbook (KB Source: runbook_vpn_troubleshooting.md), the client must be updated to **version 4.2+** to resolve connectivity issues. Check your client version via **Windows Settings > Apps > VPN Client** or **macOS Applications ","[KB Source: runbook_vpn_troubleshooting.md]
# VPN Troubleshooting Runbook


## Symptom: VPN Connection Drops Intermittently


### Step 1: Check Client Version
Ensure the VPN client is updated to the l",41.78,48.6,3,3,1,3,2.0,1.0,3.0,5.0,5.0,5.0,B,True,False,"Answer B is fully grounded in retrieved context, provides specific version-specific steps, and accurately identifies the root cause. Answer A lacks context-specific grounding and includes generic advice that may not address version 4.1 specifically.",,
What MTU setting should I use for VPN?,it,3,"The optimal MTU for a VPN typically depends on your setup, but here's a general guideline:

1. **Default MTU**: Start with **1500** (standard for most networks).  
2. **Adjust if needed**: If you experience issues (e.g., packet loss, latency), reduce MTU by **50–100** (e.g., 1450 or 1400) to account",I don't have this information in our knowledge base.,No relevant context found.,84.12,19.39,3,3,0,0,1.0,5.0,3.0,5.0,1.0,5.0,B,True,False,"Answer B is fully grounded and honest about lacking context, while Answer A fabricates specific MTU values and steps without context, making it hallucinated.",,
How to collect VPN logs for escalation?,it,4,"To collect VPN logs for escalation:  
1. **Identify the VPN type** (e.g., Cisco AnyConnect, OpenVPN, Azure VPN, etc.).  
2. **Locate logs**:  
   - **System logs**: Check `/var/log` (Linux) or Event Viewer (Windows).  
   - **VPN-specific logs**: Look in the VPN client's configuration directory (e.g",I don't have this information in our knowledge base.,No relevant context found.,71.5,13.98,3,3,0,0,2.0,3.0,3.0,5.0,1.0,5.0,B,True,False,"Answer B is fully grounded and accurate by acknowledging lack of context, while Answer A fabricates specific steps without retrieved context.",,
"My account is locked out, how do I unlock it?",it,5,"To unlock your account, follow these steps:  
1. **Verify credentials**: Ensure you're using the correct username and password.  
2. **Check for lockout policies**: Some systems lock accounts after failed attempts (e.g., 5+ tries). Wait 15–30 minutes for automatic unlock.  
3. **Contact IT support**","To unlock your account, follow these steps based on the provided runbook:

1. **Verify Identity**: Confirm your identity through employee ID verification, manager confirmation (if remote), or security questions (if configured).  
2. **Check Lockout Reason**:  
   - If using **Active Directory**, che","[KB Source: runbook_password_reset.md]
# Password Reset & Account Lockout Runbook


## Symptom: Account Locked Out


### Step 1: Verify Identity
Confirm user identity through:
- Employee ID verificati",46.71,75.65,3,3,1,3,3.0,2.0,4.0,5.0,5.0,5.0,B,False,False,"Answer B is fully grounded in retrieved IT knowledge (Active Directory, Event Viewer, Event ID 4740) and provides specific organizational procedures, while Answer A offers generic advice without context-specific details.",,
How to reset MFA enrollment?,it,6,"To reset MFA enrollment, follow these steps based on your service provider:

1. **Google Account**:  
   - Go to [Google Account Security](https://myaccount.google.com/security).  
   - Under ""2-Step Verification,"" remove the current method.  
   - Add a new method (e.g., phone number, app, or backu",I don't have this information in our knowledge base.,"[Ticket: U-000097 | N/A]
Title: MFA group membership change needed
Description: Hi, I need help. MFA keeps group membership change needed. Started yesterday. I'm on Windows 10.
Category: Account
Compo",75.83,21.05,3,3,0,3,1.0,5.0,3.0,5.0,1.0,5.0,B,True,False,"Answer A fabricates specific steps and URLs not in the retrieved context, while Answer B honestly states lack of knowledge.",,
What causes account lockout in Active Directory?,it,7,"Account lockouts in Active Directory are typically caused by:  
1. **Excessive failed login attempts** (e.g., incorrect passwords).  
2. **Brute force attacks** (systematic password guessing).  
3. **Misconfigured lockout policies** (e.g., low threshold, short lockout duration).  
4. **Password expi","The following causes are listed in the knowledge base for Active Directory account lockouts:

- **Multiple failed login attempts**: Typically 5+ failures within 30 minutes  
- **Cached credentials**: Old password stored on mobile devices or mapped drives  
- **Service account**: Applications using e","[KB Source: runbook_password_reset.md]
# Password Reset & Account Lockout Runbook


## Symptom: Account Locked Out


### Step 1: Verify Identity
Confirm user identity through:
- Employee ID verificati",58.26,30.12,3,3,1,3,3.0,3.0,4.0,5.0,5.0,5.0,B,False,False,"Answer B is fully grounded in retrieved context with specific details, while Answer A lacks context-specific grounding but remains generally accurate.",,
How to verify user identity for password reset?,it,8,"To verify user identity for password reset:  
1. **Security Questions**: Use pre-set questions/answers (e.g., ""What's your mother's maiden name?"").  
2. **Email/Phone Verification**: Send a reset link or code via email/SMS.  
3. **Multi-Factor Authentication (MFA)**: Require a second factor (e.g., a","To verify user identity for password reset, follow these steps from the provided knowledge base:

1. **Employee ID verification**  
2. **Manager confirmation** (if the user is remote)  
3. **Security questions** (if configured)  

These steps are outlined in the ""Verify Identity"" section of the Pass","[KB Source: runbook_password_reset.md]
# Password Reset & Account Lockout Runbook


## Symptom: Account Locked Out


### Step 1: Verify Identity
Confirm user identity through:
- Employee ID verificati",54.28,25.74,3,3,1,0,2.0,2.0,4.0,5.0,5.0,5.0,B,False,False,"Answer B is fully grounded in retrieved context and provides org-specific steps, while Answer A lacks specific citations and is more generic.",,
How do I enable self-service password reset?,it,9,"To enable self-service password reset, follow these steps based on your platform:

### **Microsoft 365 (Azure AD):**
1. Go to **Microsoft 365 Admin Center** > **Users** > **Active Users**.
2. Select a user, click **Edit**, then navigate to the **Password Reset** section.
3. Enable **Self-service pas",I don't have this information in our knowledge base.,"[KB Source: runbook_password_reset.md]
# Password Reset & Account Lockout Runbook


## Symptom: Account Locked Out


### Step 1: Verify Identity
Confirm user identity through:
- Employee ID verificati",76.08,18.66,3,3,1,0,,,,,,,,,,,True,
