ticket_id,title,title_clean,description,description_clean,category,component,issue_type,severity,status,resolution,resolution_clean,error_codes,quality_score,embedding_text,source,unified_id
ITS-00001,Active Directory problem: new hire needs account setup,Active Directory problem: new hire needs account setup,The Active Directory has been new hire needs account setup for the past few hours. OS: Windows 10. Please help.,The Active Directory has been new hire needs account setup for the past few hours. OS: Windows 10. Please help.,Account,Active Directory,Question,Medium,Resolved,Re-enrolled MFA device. Verified with user that issue is fixed.,Re-enrolled MFA device. Verified with user that issue is fixed.,[],1.0,"Title: Active Directory problem: new hire needs account setup
Description: The Active Directory has been new hire needs account setup for the past few hours. OS: Windows 10. Please help.
Category: Account
Component: Active Directory
Severity: Medium",synthetic,U-000000
ITS-00002,[Hardware] Monitor - fan making loud noise,[Hardware] Monitor - fan making loud noise,My Monitor is fan making loud noise. I've been experiencing this since this morning. Environment: macOS 14.,My Monitor is fan making loud noise. I've been experiencing this since this morning. Environment: macOS 14.,Hardware,Monitor,Question,Medium,In Progress,,,[],1.0,"Title: [Hardware] Monitor - fan making loud noise
Description: My Monitor is fan making loud noise. I've been experiencing this since this morning. Environment: macOS 14.
Category: Hardware
Component: Monitor
Severity: Medium",synthetic,U-000001
ITS-00003,[Software] Teams - error code 0x80070005,[Software] Teams - error code [HEX],My Teams is error code 0x80070005. I've been experiencing this since this morning. Environment: macOS 14.,My Teams is error code [HEX]. I've been experiencing this since this morning. Environment: macOS 14.,Software,Teams,Question,Low,In Progress,,,"[""0x80070005"", ""0""]",1.0,"Title: [Software] Teams - error code [HEX]
Description: My Teams is error code [HEX]. I've been experiencing this since this morning. Environment: macOS 14.
Category: Software
Component: Teams
Severity: Low",synthetic,U-000002
ITS-00004,[Software] Antivirus - compatibility issue,[Software] Antivirus - compatibility issue,"Hi, I need help. Antivirus keeps compatibility issue. Started yesterday. I'm on macOS 14.","Hi, I need help. Antivirus keeps compatibility issue. Started yesterday. I'm on macOS 14.",Software,Antivirus,Service Request,Low,In Progress,,,[],1.0,"Title: [Software] Antivirus - compatibility issue
Description: Hi, I need help. Antivirus keeps compatibility issue. Started yesterday. I'm on macOS 14.
Category: Software
Component: Antivirus
Severity: Low",synthetic,U-000003
ITS-00005,[Network] Firewall - slow internet speed,[Network] Firewall - slow internet speed,Urgent: Firewall - slow internet speed. Multiple users reporting similar issues. Environment is Windows 11.,Urgent: Firewall - slow internet speed. Multiple users reporting similar issues. Environment is Windows 11.,Network,Firewall,Bug,Medium,Open,,,[],1.0,"Title: [Network] Firewall - slow internet speed
Description: Urgent: Firewall - slow internet speed. Multiple users reporting similar issues. Environment is Windows 11.
Category: Network
Component: Firewall
Severity: Medium",synthetic,U-000004
ITS-00006,[Network] Firewall - intermittent disconnections,[Network] Firewall - intermittent disconnections,"Hi, I need help. Firewall keeps intermittent disconnections. Started yesterday. I'm on Windows 11.","Hi, I need help. Firewall keeps intermittent disconnections. Started yesterday. I'm on Windows 11.",Network,Firewall,Service Request,Low,Closed,Replaced network cable. Verified with user that issue is fixed.,Replaced network cable. Verified with user that issue is fixed.,[],1.0,"Title: [Network] Firewall - intermittent disconnections
Description: Hi, I need help. Firewall keeps intermittent disconnections. Started yesterday. I'm on Windows 11.
Category: Network
Component: Firewall
Severity: Low",synthetic,U-000005
ITS-00007,[Network] Firewall - cannot access internal resources,[Network] Firewall - cannot access internal resources,The Firewall has been cannot access internal resources for the past few hours. OS: Chrome OS. Please help.,The Firewall has been cannot access internal resources for the past few hours. OS: Chrome OS. Please help.,Network,Firewall,Question,Medium,In Progress,,,[],1.0,"Title: [Network] Firewall - cannot access internal resources
Description: The Firewall has been cannot access internal resources for the past few hours. OS: Chrome OS. Please help.
Category: Network
Component: Firewall
Severity: Medium",synthetic,U-000006
ITS-00008,Keyboard not connecting to docking station,Keyboard not connecting to docking station,The Keyboard has been not connecting to docking station for the past few hours. OS: Windows 10. Please help.,The Keyboard has been not connecting to docking station for the past few hours. OS: Windows 10. Please help.,Hardware,Keyboard,Question,Medium,In Progress,,,[],1.0,"Title: Keyboard not connecting to docking station
Description: The Keyboard has been not connecting to docking station for the past few hours. OS: Windows 10. Please help.
Category: Hardware
Component: Keyboard
Severity: Medium",synthetic,U-000007
ITS-00009,Teams problem: plugin not working,Teams problem: plugin not working,My Teams is plugin not working. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,My Teams is plugin not working. I've been experiencing this since this morning. Environment: Ubuntu 22.04.,Software,Teams,Service Request,Low,Open,,,[],1.0,"Title: Teams problem: plugin not working
Description: My Teams is plugin not working. I've been experiencing this since this morning. Environment: Ubuntu 22.04.
Category: Software
Component: Teams
Severity: Low",synthetic,U-000008
ITS-00010,Keyboard problem: fan making loud noise,Keyboard problem: fan making loud noise,Issue with Keyboard: fan making loud noise. This is affecting my work. Running on Windows 10.,Issue with Keyboard: fan making loud noise. This is affecting my work. Running on Windows 10.,Hardware,Keyboard,Question,Medium,Closed,Performed hardware diagnostic. Verified with user that issue is fixed.,Performed hardware diagnostic. Verified with user that issue is fixed.,[],1.0,"Title: Keyboard problem: fan making loud noise
Description: Issue with Keyboard: fan making loud noise. This is affecting my work. Running on Windows 10.
Category: Hardware
Component: Keyboard
Severity: Medium",synthetic,U-000009
